1.04,1.545,1.4998,2.0254,2.5827,-9.3933,11.49
1.06,1.575,1.4999,2.0565,2.5775,-9.5533,12.2864
1.08,1.605,1.501,2.0881,2.5721,-9.7056,13.1947
1.1,1.635,1.4999,2.1203,2.5665,-9.8496,14.2438
1.12,1.665,1.499,2.1532,2.5607,-9.9854,15.4713
1.14,1.695,1.5001,2.1865,2.5547,-10.1125,16.9276
1.16,1.725,1.5012,2.2205,2.5486,-10.2304,18.6809
1.18,1.755,1.4983,2.255,2.5423,-10.339,20.8452
1.2,1.785,1.5015,2.2901,2.5358,-10.4378,23.5887
1.22,1.815,1.4986,2.3258,2.5292,-10.5264,27.1887
1.24,1.845,1.5007,2.3621,2.5224,-10.6044,32.106
1.26,1.875,1.4999,2.3989,2.5155,-10.6714,39.2958
1.28,1.905,1.5001,2.4364,2.5084,-10.727,50.7896
1.3,1.935,1.5003,2.4744,2.5012,-10.7705,72.1529
1.32,1.965,1.4987,2.513,2.4938,-10.8015,126.9698
1.34,1.995,1.5008,2.5522,2.4863,-10.8195,580.1826
1.36,2.025,1.5001,2.592,2.4787,-10.8236,230.4116
1.38,2.055,1.4995,2.6323,2.471,-10.8134,94.0728
1.4,2.085,1.5007,2.6733,2.4632,-10.788,58.554
1.42,2.115,1.4993,2.7148,2.4553,-10.7465,42.1974
1.44,2.145,1.4997,2.757,2.4473,-10.6881,32.7872
1.46,2.175,1.5009,2.7997,2.4393,-10.6117,26.643
1.48,2.205,1.4988,2.8431,2.4313,-10.5163,22.3139
1.5,2.235,1.5009,2.8871,2.4232,-10.4004,19.0848
1.52,2.265,1.4997,2.9316,2.4151,-10.2629,16.5792
1.54,2.2762,0.5602,2.9765,2.4071,-10.1028,14.5844
1.56,2.2475,-1.4351,3.0207,2.3994,-9.921,12.9811
1.58,2.2175,-1.4996,3.0645,2.3919,-9.7189,11.6615
1.6,2.1875,-1.5006,3.1076,2.3847,-9.4963,10.555
1.62,2.1575,-1.5,3.1502,2.3778,-9.2531,9.6112
1.64,2.1275,-1.5002,3.1922,2.3711,-8.9889,8.7962
1.66,2.0975,-1.4996,3.2337,2.3648,-8.7033,8.0831
1.68,2.0675,-1.5005,3.2746,2.3587,-8.3958,7.4542
1.7,2.0375,-1.4991,3.315,2.353,-8.066,6.8939
1.72,2.0075,-1.5009,3.3547,2.3476,-7.7133,6.3924
1.74,1.9775,-1.5002,3.3939,2.3426,-7.3374,5.9398
1.76,1.9475,-1.4995,3.4326,2.3379,-6.9372,5.5294
1.78,1.9175,-1.4997,3.4707,2.3335,-6.5119,5.1555
1.8,1.8875,-1.5006,3.5083,2.3295,-6.0608,4.8138
1.82,1.8575,-1.4999,3.5452,2.3259,-5.5833,4.5001
1.84,1.8275,-1.5,3.5816,2.3227,-5.0781,4.2113
1.86,1.7975,-1.4992,3.6175,2.3198,-4.5439,3.9446
1.88,1.7675,-1.501,3.6528,2.3174,-3.9801,3.6983
1.9,1.7375,-1.4994,3.6875,2.3153,-3.3854,3.4699
1.92,1.7075,-1.5003,3.7216,2.3137,-2.7584,3.258
1.94,1.6775,-1.5003,3.7551,2.3124,-2.0981,3.0612
1.96,1.6475,-1.4995,3.788,2.3116,-1.4029,2.8781
1.98,1.6175,-1.5003,3.8204,2.3113,-0.6712,2.7078
2,1.5875,-1.5003,3.8521,2.3113,0.0979,2.5493
2.02,1.5575,-1.4994,3.8833,2.3118,0.9065,2.4016
2.04,1.5275,-1.5002,3.9138,2.3127,1.7561,2.2641
2.06,1.4975,-1.4992,3.9437,2.3141,2.6485,2.1359
2.08,1.4675,-1.5009,3.973,2.316,3.5848,2.0167
2.1,1.4375,-1.4998,4.0017,2.3183,4.5661,1.9059
2.12,1.4075,-1.4996,4.0297,2.321,5.5947,1.8028
2.14,1.3775,-1.5003,4.0571,2.3242,6.6716,1.7071
2.16,1.3475,-1.5,4.0838,2.3279,7.7977,1.6184
2.18,1.3175,-1.4997,4.1098,2.332,8.9744,1.5362
2.2,1.2875,-1.4993,4.1351,2.3365,10.2031,1.4602
2.22,1.2575,-1.5008,4.1598,2.3415,11.4834,1.39
2.24,1.2275,-1.5003,4.1837,2.347,12.8144,1.3255
2.26,1.1975,-1.4988,4.2069,2.3529,14.1974,1.2661
2.28,1.1675,-1.5011,4.2294,2.3591,15.6309,1.2118
2.3,1.1375,-1.4994,4.2512,2.3658,17.1126,1.1621
2.32,1.1075,-1.4995,4.2722,2.3729,18.6417,1.1168
2.34,1.0781,-1.4714,4.2924,2.3804,20.2149,1.0757
2.36,1.0505,-1.3782,4.3119,2.3882,21.8304,1.0385
2.38,1.025,-1.2793,4.3307,2.3963,23.4871,1.0049
2.4,1.0013,-1.1807,4.3488,2.4049,25.1849,0.9746
2.42,0.9796,-1.0874,4.3663,2.4137,26.9212,0.9475
2.44,0.9597,-0.9918,4.3831,2.423,28.6943,0.9232
2.46,0.9417,-0.9008,4.3994,2.4325,30.5035,0.9017
2.48,0.9255,-0.8097,4.415,2.4424,32.3451,0.8829
2.5,0.9111,-0.7204,4.43,2.4527,34.2167,0.8664
2.52,0.8985,-0.6312,4.4446,2.4633,36.117,0.8524
2.54,0.8876,-0.5444,4.4586,2.4742,38.0429,0.8405
2.56,0.8785,-0.4575,4.472,2.4855,39.9898,0.8308
2.58,0.871,-0.3714,4.485,2.4971,41.9559,0.8231
